IMDb Charts
1. Um Sonho de Liberdade
2. O Poderoso Chefão
3. Batman: O Cavaleiro das Trevas
4. O Poderoso Chefão II
5. 12 Homens e uma Sentença
6. A Lista de Schindler
7. O Senhor dos Anéis: O Retorno do Rei
8. Pulp Fiction - Tempo de Violência
9. O Senhor dos Anéis: A Sociedade do Anel
10. Três Homens em Conflito
11. Forrest Gump: O Contador de Histórias
12. Clube da Luta
13. O Senhor dos Anéis: As Duas Torres
14. A Origem
15. Star Wars: Episódio V - O Império Contra-Ataca
16. Matrix
17. Homem-Aranha: Através do Aranhaverso
18. Os Bons Companheiros
19. Um Estranho no Ninho
20. Seven: Os Sete Crimes Capitais
21. A Felicidade Não se Compra
22. Os Sete Samurais
23. O Silêncio dos Inocentes
24. Interestelar
25. O Resgate do Soldado Ryan
26. Cidade de Deus
27. A Vida é Bela
28. À Espera de um Milagre
29. Star Wars: Episódio IV - Uma Nova Esperança
30. O Exterminador do Futuro 2: O Julgamento Final
31. De Volta para o Futuro
32. A Viagem de Chihiro
33. O Pianista
34. Psicose
35. Parasita
36. Oppenheimer
37. Gladiador
38. O Rei Leão
39. O Profissional
40. A Outra História Americana
41. Os Infiltrados
42. Whiplash: Em Busca da Perfeição
43. O Grande Truque
44. Os Suspeitos
45. Túmulo dos Vagalumes
46. Casablanca
47. Harakiri
48. Intocáveis
49. Tempos Modernos
50. Cinema Paradiso
51. Era uma Vez no Oeste
52. Janela Indiscreta
53. Alien - O 8º Passageiro
54. Luzes da Cidade
55. Apocalypse Now
56. Amnésia
57. Django Livre
58. Os Caçadores da Arca Perdida
59. WALL·E
60. A Vida dos Outros
61. Crepúsculo dos Deuses
62. Glória Feita de Sangue
63. Vingadores: Guerra Infinita
64. O Iluminado
65. O Grande Ditador
66. Testemunha de Acusação
67. Homem-Aranha: No Aranhaverso
68. Aliens, O Resgate
69. Beleza Americana
70. Batman: O Cavaleiro das Trevas Ressurge
71. Bastardos Inglórios
72. Dr. Fantástico
73. Oldboy
74. Viva: A Vida é uma Festa
75. Amadeus
76. Toy Story
77. Coração Valente
78. O Barco: Inferno no Mar
79. Coringa
80. Vingadores: Ultimato
81. Princesa Mononoke
82. Gênio Indomável
83. Era uma Vez na América
84. Your Name.
85. 3 Idiotas
86. Céu E Inferno
87. Cantando na Chuva
88. Réquiem para um Sonho
89. Cafarnaum
90. Toy Story 3
91. Vá e Veja
92. Star Wars, Episódio VI: O Retorno do Jedi
93. Brilho Eterno de uma Mente sem Lembranças
94. 2001: Uma Odisséia no Espaço
95. A Caça
96. Cães de Aluguel
97. Viver
98. Lawrence da Arábia
99. Cidadão Kane
100. M, o Vampiro de Dusseldorf
101. Intriga Internacional
102. Se Meu Apartamento Falasse
103. Um Corpo que Cai
104. Pacto de Sangue
105. O Fabuloso Destino de Amélie Poulain
106. Scarface
107. Nascido para Matar
108. Laranja Mecânica
109. Incêndios
110. Hamilton
111. Fogo Contra Fogo
112. Up: Altas Aventuras
113. O Sol é para Todos
114. Golpe de Mestre
115. A Separação
116. Indiana Jones e a Última Cruzada
117. Metrópolis
118. Duro de Matar
119. Los Angeles: Cidade Proibida
120. Ladrões de Bicicletas
121. Snatch: Porcos e Diamantes
122. Como Estrelas na Terra
123. Taxi Driver: Motorista de Táxi
124. 1917
125. A Queda! As Últimas Horas de Hitler
126. Dangal
127. Top Gun: Maverick
128. Por uns Dólares a Mais
129. Batman Begins
130. Quanto Mais Quente Melhor
131. O Garoto
132. O Lobo de Wall Street
133. Meu Pai
134. Green Book: O Guia
135. A Malvada
136. Julgamento em Nuremberg
137. O Show de Truman: O Show da Vida
138. Ran
139. Sangue Negro
140. Cassino
141. Ilha do Medo
142. O Labirinto do Fauno
143. Os Imperdoáveis
144. O Sexto Sentido
145. Jurassic Park
146. Uma Mente Brilhante
147. O Tesouro da Sierra Madre
148. Yojimbo, o Guarda-Costas
149. Onde os Fracos Não Têm Vez
150. Monty Python em Busca do Cálice Sagrado
151. Kill Bill: Volume 1
152. Fugindo do Inferno
153. O Enigma de Outro Mundo
154. Rashomon
155. Procurando Nemo
156. O Homem Elefante
157. Chinatown
158. Homem-Aranha: Sem Volta para Casa
159. V de Vingança
160. ...E o Vento Levou
161. Touro Indomável
162. Disque M para Matar
163. O Castelo Animado
164. Jogos, Trapaças e Dois Canos Fumegantes
165. O Segredo dos Seus Olhos
166. Divertida Mente
167. Os Suspeitos
168. Três Anúncios para um Crime
169. A Ponte do Rio Kwai
170. Trainspotting: Sem Limites
171. Fargo: Uma Comédia de Erros
172. Guerreiro
173. Gran Torino
174. Prenda-me se for Capaz
175. Meu Amigo Totoro
176. Menina de Ouro
177. Klaus
178. Filhos do Paraíso
179. Harry Potter e as Relíquias da Morte - Parte 2
180. Blade Runner: O Caçador de Androides
181. 12 Anos de Escravidão
182. Antes do Amanhecer
183. Em Busca do Ouro
184. O Grande Hotel Budapeste
185. Ben-Hur
186. Garota Exemplar
187. Sindicato de Ladrões
188. Barry Lyndon
189. Até o Último Homem
190. Em Nome do Pai
191. A General
192. O Franco Atirador
193. Morangos Silvestres
194. Memórias de um Assassino
195. O 3º Homem
196. O Salário do Medo
197. Relatos Selvagens
198. Bancando o Águia
199. Mad Max: Estrada da Fúria
200. Sociedade dos Poetas Mortos
201. A Mulher Faz o Homem
202. Monstros S.A.
203. Como Treinar o Seu Dragão
204. Mary e Max: Uma Amizade Diferente
205. Tubarão
206. O Sétimo Selo
207. O Quarto de Jack
208. O Grande Lebowski
209. Ford vs Ferrari
210. Era uma Vez em Tóquio
211. Ratatouille
212. Hotel Ruanda
213. O Martírio de Joana D'Arc
214. Rocky: Um Lutador
215. Logan
216. Platoon
217. Spotlight: Segredos Revelados
218. O Exterminador do Futuro
219. Jai Bhim
220. Antes do Pôr do Sol
221. Rush: No Limite da Emoção
222. Rede de Intrigas
223. Conta Comigo
224. Os Melhores Anos de Nossa Vida
225. O Mágico de Oz
226. Na Natureza Selvagem
227. O Ódio
228. O Exorcista
229. Piratas do Caribe: A Maldição do Pérola Negra
230. Os Incríveis
231. Ser ou Não Ser
232. Meu Pai e Meu Filho
233. Feitiço do Tempo
234. As Vinhas da Ira
235. Sempre ao Seu Lado
236. A Batalha de Argel
237. A Criada
238. Amores Brutos
239. Rebecca, a Mulher Inesquecível
240. Rebeldia Indomável
241. A Canção da Estrada
242. A Noviça Rebelde
243. Aconteceu Naquela Noite
244. O Gigante de Ferro
245. Os Incompreendidos
246. Histórias Cruzadas
247. Quando Duas Mulheres Pecam
248. A Vida de Brian
249. Aladdin
250. Gangues de Wasseypur
You have rated
More to explore
Charts
Top Box Office (US)
Most Popular Movies
Top Rated English Movies
Most Popular TV Shows
Top 250 TV Shows
Lowest Rated Movies
Most Popular Celebs
Top Rated Movies by Genre
Recently viewed
